freq,unit,geo\TIME_PERIOD	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HAB_P,FI1D	: 	: 	: 	: 	: 	: 	: e	118.69 be	118.95 e	118.56 e	118.82 e	121.45 e	121.91 e	123.05 e	126.73 e	130.10 e	137.34 e	148.56 e	153.85 e	157.81 e	169.25 e	177.83 e	194.56 e	205.98 e	223.41 e	221.78 e	235.30 e	300.62 e	302.98 e	313.00 e
A,HAB_P,FI20	: 	: 	: 	: 	: 	: 	133.89 e	155.19 be	142.40 e	133.38 e	142.05 e	149.08 e	150.33 e	162.26 e	170.87 e	187.11 e	186.25 e	203.43 e	223.65 e	238.89 e	285.84 e	319.90 e	380.91 e	393.22 e	413.40 e	493.98 e	2712.41 e	555.68 e	431.95 e	446.35 e
A,HAB_P,FR	: 	: 	: 	: 	117.78 	119.89 	121.93 	125.47 	127.76 	129.66 	132.53 	135.31 	138.41 	140.63 	141.64 	144.87 	150.12 	155.55 	157.24 	157.74 	159.56 b	161.45 	163.13 	165.16 	167.57 	169.83 	171.99 	174.90 	178.06 	181.85 
A,HAB_P,FR10	: 	: 	: 	: 	: 	: 	138.61 	142.48 	147.02 	147.58 	151.63 	153.49 	156.70 	157.34 	157.26 	159.18 	161.57 	166.59 	167.80 	168.72 	173.88 b	175.18 	177.97 	180.89 	182.81 	185.85 	188.64 	192.05 	199.81 	205.20 
A,HAB_P,FRB0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	157.40 	159.71 	159.64 	160.35 b	160.29 	159.42 	159.64 	162.67 	165.00 	167.82 	168.43 	169.94 	173.55 
A,HAB_P,FRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	138.14 	140.70 	140.27 	140.38 b	141.61 	141.77 	142.56 	144.36 	145.54 	144.96 	148.23 	151.91 	154.57 
A,HAB_P,FRC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	153.17 	153.96 	155.71 	160.81 b	162.85 	165.90 	168.91 	171.51 	176.67 	177.17 	180.96 	184.34 	193.58 
A,HAB_P,FRD1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	148.65 	151.85 	151.65 	156.50 b	156.39 	159.11 	161.87 	162.92 	164.02 	165.34 	167.99 	166.73 	171.04 
A,HAB_P,FRD2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	176.39 	178.43 	173.94 	178.55 b	176.97 	176.00 	175.96 	176.92 	177.07 	179.29 	178.78 	182.58 	184.12 
A,HAB_P,FRE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	160.65 	161.42 	159.39 	160.52 b	162.90 	164.10 	165.69 	167.50 	168.77 	170.15 	174.61 	174.55 	176.30 
A,HAB_P,FRE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	156.27 	156.50 	157.64 	158.06 b	160.02 	163.58 	166.62 	168.57 	172.42 	174.29 	174.56 	175.77 	177.34 
A,HAB_P,FRF1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	151.97 	153.45 	156.17 	156.86 b	158.47 	160.08 	163.82 	168.53 	170.18 	170.75 	176.74 	180.44 	185.83 
A,HAB_P,FRF2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	159.85 	162.50 	163.09 	168.11 b	162.45 	164.68 	167.09 	171.02 	173.55 	177.36 	178.41 	177.55 	177.91 
A,HAB_P,FRF3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	144.26 	146.48 	149.33 	149.84 b	152.01 	153.75 	156.34 	157.74 	160.01 	163.16 	166.78 	170.40 	173.22 
A,HAB_P,FRG0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	177.12 	178.26 	178.00 	179.74 b	182.87 	186.13 	188.98 	194.00 	197.40 	200.52 	205.19 	208.21 	212.46 
A,HAB_P,FRH0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	148.92 	150.00 	152.96 	154.24 b	156.26 	158.21 	160.97 	163.30 	166.90 	170.00 	171.05 	174.29 	178.34 
A,HAB_P,FRI1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	146.98 	148.33 	149.68 	149.28 b	152.94 	154.37 	156.78 	159.25 	163.45 	165.33 	168.15 	172.21 	175.15 
A,HAB_P,FRI2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	119.70 	120.77 	119.47 	119.66 b	119.78 	121.66 	121.96 	124.03 	125.35 	126.38 	128.19 	128.84 	129.73 
A,HAB_P,FRI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	168.97 	170.22 	169.26 	171.06 b	169.44 	173.08 	176.01 	179.17 	182.93 	186.68 	188.31 	191.73 	195.40 
A,HAB_P,FRJ1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	141.38 	143.90 	144.71 	145.52 b	147.49 	148.38 	148.28 	149.93 	152.46 	153.88 	154.93 	155.95 	158.66 
A,HAB_P,FRJ2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	151.46 	151.85 	152.16 	154.62 b	155.19 	156.43 	158.58 	159.78 	162.23 	164.45 	166.72 	170.37 	173.70 
A,HAB_P,FRK1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	129.89 	132.33 	134.95 	134.24 b	135.15 	135.42 	135.58 	137.57 	137.95 	139.36 	141.95 	143.77 	147.43 
A,HAB_P,FRK2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	158.06 	159.56 	160.00 	162.26 b	165.26 	167.39 	169.26 	172.49 	175.61 	177.26 	180.77 	185.14 	190.78 
A,HAB_P,FRL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	139.13 	139.71 	140.17 	136.27 b	138.63 	139.93 	141.92 	142.92 	142.82 	145.80 	149.41 	151.09 	155.14 
A,HAB_P,FRM0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	138.17 	144.14 	151.32 	160.86 b	168.87 	166.94 	164.13 	163.47 	165.61 	166.70 	170.19 	171.72 	173.61 
A,HAB_P,FRY1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	175.65 	175.58 b	177.12 	173.75 	172.12 	201.54 	180.07 	172.56 	180.22 	179.17 	183.96 
A,HAB_P,FRY2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	156.54 	167.16 	170.62 	169.56 b	173.03 	170.58 	181.46 	184.97 	187.93 	193.01 	194.60 	187.87 	195.70 
A,HAB_P,FRY3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	278.81 	288.16 	266.39 	268.35 b	276.27 	279.71 	290.21 	287.96 	286.05 	283.69 	283.89 	286.53 	277.51 
A,HAB_P,FRY4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	286.21 	284.58 	270.60 	269.58 b	262.31 	255.34 	247.62 	250.82 	252.38 	250.48 	252.22 	245.10 	242.84 
A,HAB_P,FRY5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	692.61 b	705.73 	653.56 	678.36 	704.09 	730.94 	734.32 	760.34 	786.60 	645.38 
A,HAB_P,FX	: 	: 	: 	: 	116.73 	118.77 	120.76 	124.20 	126.50 	128.36 	131.15 	133.95 	137.05 	139.24 	140.30 	143.46 	148.81 	154.22 	155.96 	156.58 	157.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HAB_P,HR	158.57 	164.79 	168.23 	163.96 	165.07 	166.09 	167.10 	163.11 	161.56 	170.94 	172.73 	175.50 	178.02 	177.95 	177.10 	177.53 	180.89 b	173.02 	168.04 	169.89 	170.64 	168.43 	177.54 	179.12 	176.88 	173.85 	171.49 	170.71 	173.00 	171.30 
A,HAB_P,HR02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	194.21 	191.35 	187.79 	181.44 	178.37 
A,HAB_P,HR03	: 	: 	: 	: 	: 	: 	: 	169.89 	172.19 	185.53 	183.63 	186.79 	193.27 	190.50 	192.95 	192.00 	205.41 b	201.78 	188.57 	186.89 	187.58 	184.70 	192.23 	198.35 	199.95 	186.73 	183.29 	182.27 	184.50 	183.03 
A,HAB_P,HR05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	123.21 	122.43 	119.75 	126.98 	125.51 
A,HAB_P,HR06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	203.76 	200.66 	210.88 	213.62 	214.13 
A,HAB_P,HU	: 	: 	: 	: 	: 	: 	: 	122.62 	126.29 	126.41 	126.66 	126.78 	126.35 	125.36 	139.16 b	140.74 	139.98 	139.24 	138.96 	142.84 	142.10 	143.18 	142.98 	142.83 	142.47 	143.87 b	144.77 	147.99 	147.37 	150.30 
A,HAB_P,HU11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91.80 	91.26 	93.34 	94.09 	95.52 	96.19 	96.52 	96.83 	99.22 b	99.57 	99.77 	100.77 	100.86 
A,HAB_P,HU12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	315.95 	323.76 	327.17 	328.16 	329.23 	333.42 	336.30 	339.54 	372.76 b	383.56 	423.34 	454.28 	463.47 
A,HAB_P,HU21	: 	: 	: 	: 	: 	: 	: 	139.10 	144.79 	145.42 	146.32 	142.96 	140.87 	138.13 	146.78 b	147.38 	147.02 	145.37 	145.44 	152.03 	148.08 	151.21 	149.80 	147.99 	145.95 	146.39 b	147.36 	157.58 	154.92 	158.96 
A,HAB_P,HU22	: 	: 	: 	: 	: 	: 	: 	119.85 	127.09 	127.38 	127.83 	127.21 	127.23 	128.21 	140.79 b	140.95 	141.16 	141.23 	140.34 	139.73 	138.66 	138.64 	138.02 	138.87 	139.03 	139.98 b	141.26 	140.10 	140.60 	143.59 
A,HAB_P,HU23	: 	: 	: 	: 	: 	: 	: 	128.91 	136.45 	137.03 	133.22 	134.45 	134.90 	131.59 	139.86 b	137.57 	137.31 	135.07 	133.07 	136.18 	135.21 	135.13 	134.67 	139.05 	138.28 	138.52 b	138.25 	137.04 	135.14 	139.83 
A,HAB_P,HU31	: 	: 	: 	: 	: 	: 	: 	136.16 	139.87 	136.59 	135.27 	134.55 	133.32 	131.22 	141.05 b	142.57 	138.91 	137.03 	136.06 	141.15 	139.56 	140.19 	139.37 	137.12 	136.43 	135.02 b	134.86 	142.07 	135.83 	141.10 
A,HAB_P,HU32	: 	: 	: 	: 	: 	: 	: 	138.98 	135.16 	139.41 	138.58 	141.00 	139.70 	138.08 	149.85 b	151.41 	147.10 	146.38 	147.97 	157.94 	157.00 	159.62 	158.78 	155.65 	153.99 	153.17 b	154.99 	159.22 	155.78 	159.73 
A,HAB_P,HU33	: 	: 	: 	: 	: 	: 	: 	136.60 	140.46 	140.20 	140.21 	140.10 	140.68 	140.25 	159.46 b	157.85 	156.23 	154.46 	153.44 	155.74 	154.73 	153.37 	152.41 	151.32 	150.22 	148.29 b	148.10 	147.72 	146.79 	146.98 
A,HAB_P,IE	138.25 	141.62 	143.39 	147.73 	152.51 	156.42 	160.14 	163.07 	170.63 	172.97 	176.31 	177.27 	183.17 	190.20 	196.20 	206.05 	353.97 b	366.75 	381.42 	393.39 	390.62 	388.50 	342.46 b	337.90 	336.68 	336.26 	347.17 	345.92 	345.52 	344.17 
A,HAB_P,IE04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	353.05 	359.58 	363.36 
A,HAB_P,IE05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	390.81 	387.88 	388.77 
A,HAB_P,IE06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	319.03 	317.81 	314.10 
A,HAB_P,IT	149.39 	152.23 	159.57 	152.71 	170.02 	180.17 	202.96 	212.43 	216.75 	225.16 	239.24 	248.73 	247.34 	250.44 	255.99 	263.78 	270.75 	274.46 	284.31 	292.26 	301.96 	311.44 	312.94 	315.25 	314.40 	316.99 	316.18 	313.91 	320.12 	323.88 
A,HAB_P,ITC1	: 	: 	: 	: 	: 	: 	187.94 	200.27 	204.56 	225.54 	229.33 	237.43 	242.57 	247.21 	249.51 	255.26 	252.50 	254.15 	261.32 	269.31 	272.61 	280.83 	280.79 	279.99 	287.22 	286.14 	288.38 	280.01 	285.54 	284.48 
A,HAB_P,ITC2	: 	: 	: 	: 	: 	: 	260.09 	266.37 	261.08 	276.18 	284.62 	290.36 	296.75 	291.13 	301.45 	314.90 	263.05 	264.01 	262.84 	261.79 	251.41 	272.71 	276.65 	278.13 	277.51 	282.98 	278.54 	239.08 	266.07 	315.20 
A,HAB_P,ITC3	: 	: 	: 	: 	: 	: 	186.51 	188.07 	194.23 	197.70 	273.40 	272.13 	220.54 	241.16 	244.78 	262.64 	259.35 	263.29 	296.76 	273.67 	291.78 	293.24 	285.87 	298.64 	297.87 	295.07 	284.45 	296.97 	301.27 	300.48 
A,HAB_P,ITC4	: 	: 	: 	: 	: 	: 	194.61 	200.04 	207.68 	220.40 	231.84 	237.70 	238.84 	239.75 	245.15 	249.22 	249.00 	252.15 	256.28 	264.11 	273.51 	276.81 	278.94 	281.09 	283.32 	288.40 	285.29 	274.98 	304.40 	303.54 
A,HAB_P,ITF1	: 	: 	: 	: 	: 	: 	191.19 	231.54 	240.68 	216.88 	244.81 	280.97 	234.19 	224.75 	234.05 	265.72 	281.24 	279.39 	301.19 	312.45 	305.59 	317.55 	325.19 	319.90 	329.35 	327.47 	341.21 	327.10 	313.74 	316.44 
A,HAB_P,ITF2	: 	: 	: 	: 	: 	: 	200.73 	218.39 	214.73 	209.41 	198.26 	199.02 	190.04 	191.88 	193.56 	212.67 	217.95 	228.05 	252.00 	263.67 	248.64 	304.59 	276.71 	282.43 	300.75 	340.91 	333.13 	321.52 	317.34 	322.69 
A,HAB_P,ITF3	: 	: 	: 	: 	: 	: 	266.09 	280.73 	279.14 	287.55 	328.21 	321.61 	307.63 	304.46 	308.77 	318.88 	327.94 	334.27 	350.02 	364.98 	366.19 	383.33 	381.59 	387.01 	388.66 	387.85 	396.50 	388.71 	399.34 	400.44 
A,HAB_P,ITF4	: 	: 	: 	: 	: 	: 	211.81 	226.61 	234.69 	248.57 	251.54 	270.96 	262.74 	264.15 	268.97 	278.03 	282.44 	283.08 	303.15 	326.38 	337.24 	359.55 	351.43 	354.14 	353.07 	353.88 	352.99 	359.12 	345.90 	347.29 
A,HAB_P,ITF5	: 	: 	: 	: 	: 	: 	244.87 	243.97 	244.49 	247.55 	312.79 	311.17 	316.25 	291.47 	303.11 	318.03 	318.57 	313.48 	311.17 	314.72 	330.45 	335.95 	334.39 	333.74 	338.34 	353.77 	346.80 	341.54 	312.69 	309.10 
A,HAB_P,ITF6	: 	: 	: 	: 	: 	: 	224.10 	222.26 	197.95 	239.60 	198.72 	234.22 	255.17 	253.86 	260.76 	292.30 	304.87 	310.66 	325.09 	364.34 	408.67 	459.92 	475.56 	449.07 	400.10 	403.16 	402.94 	500.63 	454.29 	389.86 
A,HAB_P,ITG1	: 	: 	: 	: 	: 	: 	249.41 	260.34 	260.72 	254.68 	265.58 	283.54 	289.33 	300.67 	305.01 	319.58 	338.81 	330.46 	342.12 	348.28 	355.05 	365.10 	367.81 	371.83 	367.69 	361.08 	354.67 	346.70 	343.05 	358.24 
A,HAB_P,ITG2	: 	: 	: 	: 	: 	: 	202.07 	197.10 	216.52 	216.02 	224.36 	228.42 	228.99 	228.62 	249.38 	251.17 	251.99 	267.83 	267.11 	290.37 	300.00 	323.15 	318.45 	320.80 	331.99 	321.70 	331.95 	330.00 	328.45 	330.99 
A,HAB_P,ITH1	: 	: 	: 	: 	: 	: 	162.20 	172.61 	182.59 	191.34 	197.47 	208.91 	220.92 	224.21 	234.44 	233.76 	240.52 	245.37 	253.15 	254.60 	258.79 	263.57 	270.82 	263.13 	271.42 	257.31 	285.74 	295.72 	293.12 	306.01 
A,HAB_P,ITH2	: 	: 	: 	: 	: 	: 	222.57 	201.11 	189.24 	229.55 	267.46 	277.05 	216.03 	220.93 	223.55 	229.59 	234.61 	237.84 	244.25 	246.54 	273.75 	280.77 	280.41 	287.92 	273.73 	287.74 	288.13 	279.16 	271.73 	277.08 
A,HAB_P,ITH3	: 	: 	: 	: 	: 	: 	196.84 	207.12 	215.44 	223.91 	238.05 	251.15 	259.11 	258.88 	263.61 	271.97 	275.23 	278.77 	283.28 	289.90 	294.75 	295.54 	292.73 	303.96 	303.25 	308.49 	303.98 	308.53 	324.94 	329.39 
A,HAB_P,ITH4	: 	: 	: 	: 	: 	: 	178.39 	195.00 	200.36 	209.72 	229.35 	257.05 	270.66 	275.60 	278.99 	288.53 	280.35 	275.67 	275.43 	273.38 	278.93 	280.10 	286.83 	301.12 	307.40 	299.80 	305.98 	300.37 	304.93 	320.57 
A,HAB_P,ITH5	: 	: 	: 	: 	: 	: 	: 	207.74 	206.96 	210.23 	214.21 	226.45 	222.65 	229.94 	230.83 	237.53 	242.18 	244.03 	237.42 	246.67 	250.88 	259.50 	272.70 	269.98 	264.75 	270.28 	269.14 	274.02 	275.82 	285.51 
A,HAB_P,ITI1	: 	: 	: 	: 	: 	: 	214.35 	218.96 	226.54 	222.50 	255.94 	258.98 	260.25 	271.88 	278.81 	287.75 	301.75 	303.11 	310.14 	310.02 	333.45 	347.34 	339.88 	344.35 	354.44 	350.14 	350.32 	353.84 	346.23 	354.63 
A,HAB_P,ITI2	: 	: 	: 	: 	: 	: 	234.93 	251.61 	263.88 	271.81 	299.33 	299.94 	319.08 	328.23 	317.09 	328.96 	328.74 	333.25 	329.58 	329.51 	319.07 	326.20 	328.54 	328.67 	333.88 	326.84 	330.16 	340.99 	342.25 	332.66 
A,HAB_P,ITI3	: 	: 	: 	: 	: 	: 	: 	203.11 	210.25 	216.09 	261.80 	243.82 	246.01 	263.14 	265.53 	265.32 	268.32 	269.76 	280.09 	289.59 	300.92 	309.77 	313.02 	327.02 	324.30 	333.49 	331.40 	349.94 	365.14 	353.83 
A,HAB_P,ITI4	: 	: 	: 	: 	: 	: 	155.37 	166.15 	170.27 	176.66 	185.45 	190.92 	192.89 	192.69 	201.64 	201.76 	225.26 	238.40 	266.91 	267.68 	289.15 	297.22 	302.34 	298.82 	286.24 	299.10 	295.53 	283.36 	280.82 	296.38 
A,HAB_P,LT	84.49 	89.50 	91.41 	94.35 	104.18 	110.28 	111.70 	113.21 	120.00 	123.44 	127.32 	132.17 	137.29 	139.60 	139.08 	139.31 	139.22 	139.58 	134.52 	134.31 	136.75 	137.67 	143.55 	149.44 	152.49 	155.43 	157.57 	166.34 	165.17 	176.04 
A,HAB_P,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	119.73 	117.32 	118.81 	122.93 	125.32 	130.47 	136.40 	139.13 	142.07 	146.62 	161.31 	158.91 	162.51 
A,HAB_P,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	145.41 	142.11 	141.11 	142.77 	143.02 	149.30 	155.24 	158.55 	161.58 	162.57 	168.55 	167.93 	182.38 
A,HAB_P,NL	179.48 	186.03 b	189.83 b	191.95 	192.81 	195.86 	198.42 	207.20 e	215.02 e	218.78 e	222.58 b	222.45 	225.28 	227.47 b	233.02 	235.31 	237.47 	242.74 	251.60 	264.65 	270.82 	282.05 	286.55 b	293.17 	305.17 	314.04 	331.02 	343.49 	338.72 b	408.28 b
A,HAB_P,NL11	: 	: 	: 	: 	: 	: 	204.82 	215.48 e	209.00 e	210.20 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NL12	: 	: 	: 	: 	: 	: 	225.53 	224.92 e	259.57 e	260.40 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NL13	: 	: 	: 	: 	: 	: 	143.19 	154.30 e	154.26 e	158.42 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NL21	: 	: 	: 	: 	: 	: 	210.84 	215.53 e	218.03 e	223.95 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NL22	: 	: 	: 	: 	: 	: 	198.47 	210.34 e	214.56 e	219.40 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NL23	: 	: 	: 	: 	: 	: 	569.49 	587.40 e	598.80 e	619.11 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NL32	: 	: 	: 	: 	: 	: 	191.26 	201.15 e	204.75 e	207.13 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NL34	: 	: 	: 	: 	: 	: 	255.05 	264.82 e	270.56 e	267.94 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NL41	: 	: 	: 	: 	: 	: 	207.34 	215.44 e	228.49 e	230.57 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NL42	: 	: 	: 	: 	: 	: 	197.10 	202.47 e	206.32 e	208.50 e	: b	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: b	: b
A,HAB_P,NO	239.12 	244.27 	246.16 	250.25 	253.32 	254.93 	257.16 	263.37 	262.02 	200.25 b	200.44 	190.65 	193.76 	198.94 	205.59 	215.75 	221.10 	232.33 	238.38 	251.72 	259.16 	260.08 	266.07 b	271.40 	277.69 	283.80 	287.23 	293.98 	294.14 	298.66 
A,HAB_P,NO02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	194.27 	195.85 	212.35 	219.54 	224.08 	218.92 	196.37 b	200.18 	201.70 	202.88 	218.71 	222.25 	231.97 	233.65 
A,HAB_P,NO06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	212.22 	223.24 	222.97 	231.12 	244.27 	254.02 	263.48 b	266.84 	273.13 	275.85 	275.94 	278.32 	286.44 	301.07 
A,HAB_P,NO07	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	189.37 	197.19 	204.40 	205.24 	216.30 	218.91 	222.90 b	227.91 	228.17 	233.09 	232.85 	236.91 	233.29 	239.45 
A,HAB_P,NO08	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	298.67 	290.56 	294.40 
A,HAB_P,NO09	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	367.57 	370.75 	373.83 
A,HAB_P,NO0A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	318.93 	320.05 	321.90 
A,HAB_P,NO0B	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.00 	0.00 
A,HAB_P,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	149.72 	149.97 	153.36 	154.51 	155.67 	151.07 b	150.03 	151.29 	150.88 	150.83 b	151.32 	150.90 	150.72 	150.59 	150.97 	152.98 	161.96 b	159.90 	156.21 	158.86 
A,HAB_P,PL21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	147.18 	141.71 	147.86 	150.13 	151.52 	146.71 b	145.88 	151.10 	152.32 	152.13 b	152.20 	151.01 	152.92 	153.03 	151.90 	151.81 	160.45 b	161.94 	159.41 	160.28 
A,HAB_P,PL22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	141.36 	142.81 	145.44 	146.54 	148.60 	143.76 b	146.02 	147.93 	147.67 	146.80 b	146.34 	147.89 	149.88 	148.86 	150.76 	152.43 	158.83 b	159.82 	159.54 	162.42 
A,HAB_P,PL41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	183.80 	185.45 	189.79 	192.54 	192.56 	186.54 b	187.93 	192.68 	193.48 	192.50 b	210.22 	198.16 	196.54 	200.58 	199.18 	205.17 	233.99 b	234.56 	231.83 	225.22 
A,HAB_P,PL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95.50 	92.68 	96.07 	95.06 	96.77 	92.08 b	89.04 	83.92 	79.44 	83.42 b	83.36 	85.71 	82.04 	83.21 	83.60 	83.10 	84.57 b	84.85 	80.91 	81.19 
A,HAB_P,PL43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	163.96 	165.98 	186.64 	186.00 	192.87 	188.30 b	188.86 	194.86 	185.63 	175.77 b	178.02 	178.57 	192.08 	193.50 	191.81 	196.23 	209.35 b	196.38 	196.38 	201.80 
A,HAB_P,PL51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	120.03 	120.26 	123.41 	125.15 	127.67 	128.42 b	125.17 	125.04 	126.77 	126.11 b	124.97 	126.53 	126.45 	126.39 	128.79 	129.07 	136.21 b	135.11 	133.08 	134.48 
A,HAB_P,PL52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	182.82 	191.63 	196.46 	194.72 	192.04 	182.52 b	175.68 	171.53 	172.49 	166.73 b	168.13 	169.48 	176.54 	170.76 	176.83 	182.51 	203.57 b	189.11 	174.17 	189.79 
