freq,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,RT,BE1	5.9 	7.7 	6.6 	6.1 	5.6 	6.1 	3.5 	5.5 	5.0 	5.0 	5.4 	4.7 	5.1 	4.7 	3.5 	2.9 	3.2 	3.9 	4.3 	3.1 	3.0 	2.7 	3.5 	2.5 	3.2 	2.5 	3.1 	3.8 	3.6 	3.5 	4.5 	2.7 	2.7 
A,RT,BE10	5.9 	7.7 	6.6 	6.1 	5.6 	6.1 	3.5 	5.5 	5.0 	5.0 	5.4 	4.7 	5.1 	4.7 	3.5 	2.9 	3.2 	3.9 	4.3 	3.1 	3.0 	2.7 	3.5 	2.5 	3.2 	2.5 	3.1 	3.8 	3.6 	3.5 	4.5 	2.7 	2.7 
A,RT,BE2	6.7 	6.5 	6.7 	6.3 	6.0 	6.0 	5.3 	5.1 	5.1 	4.7 	4.8 	4.4 	4.3 	4.2 	3.8 	3.7 	4.2 	4.1 	4.0 	3.5 	3.7 	3.6 	4.1 	3.6 	3.2 	3.7 	3.1 	3.6 	3.9 	3.6 	3.2 	2.9 	2.8 
A,RT,BE21	7.2 	6.4 	6.7 	6.3 	5.7 	5.3 	4.7 	4.5 	5.0 	4.5 	5.2 	3.6 	4.4 	4.3 	3.6 	3.4 	4.5 	3.1 	4.5 	3.2 	4.1 	3.6 	4.9 	3.5 	3.2 	3.1 	3.2 	3.6 	4.7 	3.8 	3.0 	3.1 	3.4 
A,RT,BE22	7.0 	7.3 	5.7 	6.0 	6.2 	6.7 	5.0 	6.1 	4.8 	4.9 	4.2 	3.2 	5.0 	4.4 	3.0 	3.8 	3.4 	3.0 	3.5 	3.0 	2.8 	3.9 	3.5 	3.5 	2.7 	2.4 	2.4 	2.4 	3.6 	3.7 	3.6 	2.5 	2.8 
A,RT,BE23	6.7 	5.9 	7.0 	6.2 	6.8 	6.8 	5.5 	5.3 	6.0 	4.7 	5.2 	5.1 	4.4 	3.6 	5.1 	4.9 	4.5 	6.3 	4.3 	4.6 	4.1 	3.4 	4.2 	4.0 	3.2 	4.0 	3.7 	4.3 	3.8 	3.5 	3.4 	3.4 	2.9 
A,RT,BE24	6.5 	7.2 	5.2 	6.2 	5.9 	5.1 	4.1 	4.4 	4.7 	4.1 	4.0 	5.4 	3.3 	3.7 	3.8 	2.2 	3.8 	3.9 	3.4 	3.2 	3.3 	3.6 	3.1 	3.2 	3.9 	3.8 	2.8 	3.8 	3.4 	4.2 	3.4 	2.5 	2.2 
A,RT,BE25	5.9 	6.3 	8.4 	6.8 	5.7 	6.2 	7.1 	5.9 	4.8 	5.4 	4.6 	4.6 	4.6 	5.1 	2.7 	4.1 	4.3 	4.1 	3.3 	3.3 	3.6 	3.6 	3.6 	3.6 	2.9 	5.2 	3.0 	3.2 	3.3 	3.0 	3.0 	2.8 	2.4 
A,RT,BE3	6.4 	7.5 	7.3 	7.6 	6.9 	5.6 	5.0 	5.8 	5.3 	5.1 	4.7 	4.7 	4.3 	3.6 	3.8 	4.0 	4.0 	3.6 	3.1 	3.5 	3.6 	3.3 	3.4 	3.7 	3.8 	2.9 	3.3 	3.5 	3.6 	3.7 	2.7 	2.9 	3.2 
A,RT,BE31	4.6 	6.0 	5.2 	6.5 	6.8 	2.4 	4.8 	4.0 	4.8 	4.4 	3.3 	3.5 	3.4 	3.4 	2.8 	2.0 	1.9 	2.0 	2.5 	2.5 	3.2 	4.1 	4.8 	1.5 	2.5 	1.5 	3.4 	3.9 	1.9 	3.5 	1.7 	2.1 	1.7 
